date,type,time_ny,note
2020-08-14,retail_sales,08:30,Census MARTS release dates
2020-08-21,opex,09:30,monthly; AM-settled index options settle at the open
2020-08-28,PCE,08:30,"Personal Income and Outlays, July 2020"
2020-09-04,NFP,08:30,BLS release archive
2020-09-07,early_close,13:00,exchange holiday: CME Globex-only session
2020-09-10,PPI,08:30,BLS release archive
2020-09-11,CPI,08:30,BLS release archive
2020-09-16,FOMC,14:00,"scheduled meeting, statement 14:00"
2020-09-16,retail_sales,08:30,Census MARTS release dates
2020-09-18,opex,09:30,quad witching; AM-settled index options settle at the open
2020-10-01,PCE,08:30,"Personal Income and Outlays, August 2020"
2020-10-02,NFP,08:30,BLS release archive
2020-10-13,CPI,08:30,BLS release archive
2020-10-14,PPI,08:30,BLS release archive
2020-10-16,opex,09:30,monthly; AM-settled index options settle at the open
2020-10-16,retail_sales,08:30,Census MARTS release dates
2020-10-29,GDP_advance,08:30,"Gross Domestic Product, Third Quarter 2020 (Advance Estimate)"
2020-10-30,PCE,08:30,"Personal Income and Outlays, September 2020"
2020-11-05,FOMC,14:00,"scheduled meeting, statement 14:00"
2020-11-06,NFP,08:30,BLS release archive
2020-11-12,CPI,08:30,BLS release archive
2020-11-13,PPI,08:30,BLS release archive
2020-11-17,retail_sales,08:30,Census MARTS release dates
2020-11-20,opex,09:30,monthly; AM-settled index options settle at the open
2020-11-25,PCE,08:30,"Personal Income and Outlays, October 2020"
2020-11-26,early_close,13:00,exchange holiday: CME Globex-only session
2020-11-27,early_close,13:15,NYSE half day
2020-12-04,NFP,08:30,BLS release archive
2020-12-10,CPI,08:30,BLS release archive
2020-12-11,PPI,08:30,BLS release archive
2020-12-16,FOMC,14:00,"scheduled meeting, statement 14:00"
2020-12-16,retail_sales,08:30,Census MARTS release dates
2020-12-18,opex,09:30,quad witching; AM-settled index options settle at the open
2020-12-23,PCE,08:30,"Personal Income and Outlays, November 2020"
2020-12-24,early_close,13:15,NYSE half day
2021-01-08,NFP,08:30,BLS release archive
2021-01-13,CPI,08:30,BLS release archive
2021-01-15,PPI,08:30,BLS release archive
2021-01-15,opex,09:30,monthly; AM-settled index options settle at the open
2021-01-15,retail_sales,08:30,Census MARTS release dates
2021-01-18,early_close,13:00,exchange holiday: CME Globex-only session
2021-01-27,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-01-28,GDP_advance,08:30,"Gross Domestic Product, 4th Quarter and Year 2020 (Advance Estimate)"
2021-01-29,PCE,08:30,"Personal Income and Outlays, December 2020"
2021-02-05,NFP,08:30,BLS release archive
2021-02-10,CPI,08:30,BLS release archive
2021-02-15,early_close,13:00,exchange holiday: CME Globex-only session
2021-02-17,PPI,08:30,BLS release archive
2021-02-17,retail_sales,08:30,Census MARTS release dates
2021-02-19,opex,09:30,monthly; AM-settled index options settle at the open
2021-02-26,PCE,08:30,"Personal Income and Outlays, January 2021"
2021-03-05,NFP,08:30,BLS release archive
2021-03-10,CPI,08:30,BLS release archive
2021-03-12,PPI,08:30,BLS release archive
2021-03-16,retail_sales,08:30,Census MARTS release dates
2021-03-17,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-03-19,opex,09:30,quad witching; AM-settled index options settle at the open
2021-03-26,PCE,08:30,"Personal Income and Outlays, February 2021"
2021-04-02,NFP,08:30,BLS release archive
2021-04-09,PPI,08:30,BLS release archive
2021-04-13,CPI,08:30,BLS release archive
2021-04-15,retail_sales,08:30,Census MARTS release dates
2021-04-16,opex,09:30,monthly; AM-settled index options settle at the open
2021-04-28,FOMC,14:00,"scheduled meeting, statement 14:00"
2021-04-29,GDP_advance,08:30,"Gross Domestic Product, First Quarter 2021 (Advance Estimate)"
2021-04-30,PCE,08:30,"Personal Income and Outlays, March 2021"
2021-05-07,NFP,08:30,BLS release archive
2021-05-12,CPI,08:30,BLS release archive
2021-05-13,PPI,08:30,BLS release archive
2021-05-14,retail_sales,08:30,Census MARTS release dates
2021-05-21,opex,09:30,monthly; AM-settled index options settle at the open
2021-05-28,PCE,08:30,"Personal Income and Outlays, April 2021"
2021-05-31,early_close,13:00,exchange holiday: CME Globex-only session
2021-06-04,NFP,08:30,BLS release archive
2021-06-10,CPI,08:30,BLS release archive
2021-06-15,PPI,08:30,BLS release archive
2021-06-15,retail_sales,08:30,Census MARTS release dates
