date,type,time_ny,note
2024-09-27,PCE,08:30,"Personal Income and Outlays, August 2024"
2024-10-04,NFP,08:30,BLS release archive
2024-10-10,CPI,08:30,BLS release archive
2024-10-11,PPI,08:30,BLS release archive
2024-10-17,retail_sales,08:30,Census MARTS release dates
2024-10-18,opex,09:30,monthly; AM-settled index options settle at the open
2024-10-30,GDP_advance,08:30,"Gross Domestic Product, Third Quarter 2024 (Advance Estimate)"
2024-10-31,PCE,08:30,"Personal Income and Outlays, September 2024"
2024-11-01,NFP,08:30,BLS release archive
2024-11-07,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-11-13,CPI,08:30,BLS release archive
2024-11-14,PPI,08:30,BLS release archive
2024-11-15,opex,09:30,monthly; AM-settled index options settle at the open
2024-11-15,retail_sales,08:30,Census MARTS release dates
2024-11-27,PCE,08:30,"Personal Income and Outlays, October 2024"
2024-11-28,early_close,13:00,exchange holiday: CME Globex-only session
2024-11-29,early_close,13:15,NYSE half day
2024-12-06,NFP,08:30,BLS release archive
2024-12-11,CPI,08:30,BLS release archive
2024-12-12,PPI,08:30,BLS release archive
2024-12-17,retail_sales,08:30,Census MARTS release dates
2024-12-18,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-12-20,PCE,08:30,"Personal Income and Outlays, November 2024"
2024-12-20,opex,09:30,quad witching; AM-settled index options settle at the open
2024-12-24,early_close,13:15,NYSE half day
2025-01-10,NFP,08:30,BLS release archive
2025-01-14,PPI,08:30,BLS release archive
2025-01-15,CPI,08:30,BLS release archive
2025-01-16,retail_sales,08:30,Census MARTS release dates
2025-01-17,opex,09:30,monthly; AM-settled index options settle at the open
2025-01-20,early_close,13:00,exchange holiday: CME Globex-only session
2025-01-29,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-01-30,GDP_advance,08:30,"Gross Domestic Product, 4th Quarter and Year 2024 (Advance Estimate)"
2025-01-31,PCE,08:30,"Personal Income and Outlays, December 2024"
2025-02-07,NFP,08:30,BLS release archive
2025-02-12,CPI,08:30,BLS release archive
2025-02-13,PPI,08:30,BLS release archive
2025-02-14,retail_sales,08:30,Census MARTS release dates
2025-02-17,early_close,13:00,exchange holiday: CME Globex-only session
2025-02-21,opex,09:30,monthly; AM-settled index options settle at the open
2025-02-28,PCE,08:30,"Personal Income and Outlays, January 2025"
2025-03-07,NFP,08:30,BLS release archive
2025-03-12,CPI,08:30,BLS release archive
2025-03-13,PPI,08:30,BLS release archive
2025-03-17,retail_sales,08:30,Census MARTS release dates
2025-03-19,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-03-21,opex,09:30,quad witching; AM-settled index options settle at the open
2025-03-28,PCE,08:30,"Personal Income and Outlays, February 2025"
2025-04-04,NFP,08:30,BLS release archive
2025-04-10,CPI,08:30,BLS release archive
2025-04-11,PPI,08:30,BLS release archive
2025-04-16,retail_sales,08:30,Census MARTS release dates
2025-04-17,opex,09:30,monthly; moved to Thursday (Good Friday); AM-settled index options settle at the open
2025-04-30,GDP_advance,08:30,"Gross Domestic Product, 1st Quarter 2025 (Advance Estimate)"
2025-04-30,PCE,08:30,"Personal Income and Outlays, March 2025"
2025-05-02,NFP,08:30,BLS release archive
2025-05-07,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-05-13,CPI,08:30,BLS release archive
2025-05-15,PPI,08:30,BLS release archive
2025-05-15,retail_sales,08:30,Census MARTS release dates
2025-05-16,opex,09:30,monthly; AM-settled index options settle at the open
2025-05-26,early_close,13:00,exchange holiday: CME Globex-only session
2025-05-30,PCE,08:30,"Personal Income and Outlays, April 2025"
2025-06-06,NFP,08:30,BLS release archive
2025-06-11,CPI,08:30,BLS release archive
2025-06-12,PPI,08:30,BLS release archive
2025-06-17,retail_sales,08:30,Census MARTS release dates
2025-06-18,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-06-19,early_close,13:00,exchange holiday: CME Globex-only session
2025-06-20,opex,09:30,quad witching; AM-settled index options settle at the open
2025-06-27,PCE,08:30,"Personal Income and Outlays, May 2025"
2025-07-03,NFP,08:30,BLS release archive
2025-07-03,early_close,13:15,NYSE half day
2025-07-04,early_close,13:00,exchange holiday: CME Globex-only session
2025-07-15,CPI,08:30,BLS release archive
2025-07-16,PPI,08:30,BLS release archive
2025-07-17,retail_sales,08:30,Census MARTS release dates
2025-07-18,opex,09:30,monthly; AM-settled index options settle at the open
2025-07-30,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-07-30,GDP_advance,08:30,"Gross Domestic Product, 2nd Quarter 2025 (Advance Estimate)"
2025-07-31,PCE,08:30,"Personal Income and Outlays, June 2025"
2025-08-01,NFP,08:30,BLS release archive
2025-08-12,CPI,08:30,BLS release archive
2025-08-14,PPI,08:30,BLS release archive
2025-08-15,opex,09:30,monthly; AM-settled index options settle at the open
2025-08-15,retail_sales,08:30,Census MARTS release dates
2025-08-29,PCE,08:30,"Personal Income and Outlays, July 2025"
2025-09-01,early_close,13:00,exchange holiday: CME Globex-only session
2025-09-05,NFP,08:30,BLS release archive
2025-09-10,PPI,08:30,BLS release archive
2025-09-11,CPI,08:30,BLS release archive
2025-09-16,retail_sales,08:30,Census MARTS release dates
2025-09-17,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-09-19,opex,09:30,quad witching; AM-settled index options settle at the open
2025-09-26,PCE,08:30,"Personal Income and Outlays, August 2025"
2025-10-17,opex,09:30,monthly; AM-settled index options settle at the open
2025-10-24,CPI,08:30,BLS release archive
2025-10-29,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-11-20,NFP,08:30,BLS release archive
2025-11-21,opex,09:30,monthly; AM-settled index options settle at the open
2025-11-25,PPI,08:30,BLS release archive
2025-11-25,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2025-11-27,early_close,13:00,exchange holiday: CME Globex-only session
2025-11-28,early_close,13:15,NYSE half day
2025-12-05,PCE,08:30,"Personal Income and Outlays, September 2025"
2025-12-10,FOMC,14:00,"scheduled meeting, statement 14:00"
2025-12-16,NFP,08:30,BLS release archive
2025-12-16,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2025-12-18,CPI,08:30,BLS release archive
2025-12-19,opex,09:30,quad witching; AM-settled index options settle at the open
2025-12-24,early_close,13:15,NYSE half day
2026-01-09,NFP,08:30,BLS release archive
2026-01-13,CPI,08:30,BLS release archive
2026-01-14,PPI,08:30,BLS release archive
2026-01-14,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2026-01-16,opex,09:30,monthly; AM-settled index options settle at the open
2026-01-19,early_close,13:00,exchange holiday: CME Globex-only session
2026-01-22,PCE,10:00,"Personal Income and Outlays, October and November 2025"
2026-01-28,FOMC,14:00,"scheduled meeting, statement 14:00"
2026-01-30,PPI,08:30,BLS release archive
2026-02-10,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2026-02-11,NFP,08:30,BLS release archive
2026-02-13,CPI,08:30,BLS release archive
2026-02-16,early_close,13:00,exchange holiday: CME Globex-only session
2026-02-20,GDP_advance,08:30,"GDP (Advance Estimate), 4th Quarter and Year 2025"
2026-02-20,PCE,08:30,"Personal Income and Outlays, December 2025"
2026-02-20,opex,09:30,monthly; AM-settled index options settle at the open
2026-02-27,PPI,08:30,BLS release archive
2026-03-06,NFP,08:30,BLS release archive
2026-03-06,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2026-03-11,CPI,08:30,BLS release archive
2026-03-13,PCE,08:30,"Personal Income and Outlays, January 2026"
2026-03-18,FOMC,14:00,"scheduled meeting, statement 14:00"
2026-03-18,PPI,08:30,BLS release archive
2026-03-20,opex,09:30,quad witching; AM-settled index options settle at the open
2026-04-01,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2026-04-03,NFP,08:30,BLS release archive
2026-04-09,PCE,08:30,"Personal Income and Outlays, February 2026"
2026-04-10,CPI,08:30,BLS release archive
2026-04-14,PPI,08:30,BLS release archive
2026-04-17,opex,09:30,monthly; AM-settled index options settle at the open
2026-04-21,retail_sales,08:30,Census MARTS release dates (shutdown-delayed)
2026-04-29,FOMC,14:00,"scheduled meeting, statement 14:00"
2026-04-30,GDP_advance,08:30,"GDP (Advance Estimate), 1st Quarter 2026"
2026-04-30,PCE,08:30,"Personal Income and Outlays, March 2026"
2026-05-08,NFP,08:30,BLS release archive
2026-05-12,CPI,08:30,BLS release archive
2026-05-13,PPI,08:30,BLS release archive
2026-05-14,retail_sales,08:30,Census MARTS release dates
2026-05-15,opex,09:30,monthly; AM-settled index options settle at the open
2026-05-25,early_close,13:00,exchange holiday: CME Globex-only session
2026-05-28,PCE,08:30,"Personal Income and Outlays, April 2026"
2026-06-05,NFP,08:30,BLS release archive
2026-06-10,CPI,08:30,BLS release archive
2026-06-11,PPI,08:30,BLS release archive
2026-06-17,FOMC,14:00,"scheduled meeting, statement 14:00"
2026-06-17,retail_sales,08:30,Census MARTS release dates
2026-06-18,opex,09:30,quad witching; moved to Thursday (Juneteenth); AM-settled index options settle at the open
2026-06-19,early_close,13:00,exchange holiday: CME Globex-only session
2026-06-25,PCE,08:30,"Personal Income and Outlays, May 2026"
2026-07-02,NFP,08:30,BLS release archive
2026-07-03,early_close,13:00,exchange holiday: CME Globex-only session
2026-07-14,CPI,08:30,BLS release archive
2026-07-15,PPI,08:30,BLS release archive
2026-07-16,retail_sales,08:30,Census MARTS release dates
2026-07-17,opex,09:30,monthly; AM-settled index options settle at the open
2026-07-29,FOMC,14:00,"scheduled meeting, statement 14:00"
2026-07-30,GDP_advance,08:30,"GDP (Advance Estimate), 2nd Quarter 2026"
2026-07-30,PCE,08:30,"Personal Income and Outlays, June 2026"
2026-08-07,NFP,08:30,BLS release archive
2026-08-12,CPI,08:30,BLS release archive
2026-08-13,PPI,08:30,BLS release archive
2026-08-14,retail_sales,08:30,Census MARTS release dates
2026-08-21,opex,09:30,monthly; AM-settled index options settle at the open
2026-08-26,PCE,08:30,"Personal Income and Outlays, July 2026"
2026-09-04,NFP,08:30,BLS release archive
2026-09-07,early_close,13:00,exchange holiday: CME Globex-only session
2026-09-16,FOMC,14:00,"scheduled meeting, statement 14:00"
2026-09-16,retail_sales,08:30,Census MARTS release dates
2026-09-18,opex,09:30,quad witching; AM-settled index options settle at the open
