Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
139,Entry short,2021-04-22 06:50,S|ORB|or:40.8|pd:18|on:botBreak|gap:-17.8|ent:close|risk:49.5|rr:0|n:1|h:9|m:50|dow:5,13862.75,1,27725.5,-102,-0.37,2,10.5,0.04,-101,-0.36,-1718,-6.87,7
140,Exit long,2021-04-23 13:00,time,13917.5,1,27675.5,157.5,0.57,2,286,1.03,-26.5,-0.10,-1560.5,-6.24,72
140,Entry long,2021-04-23 07:00,L|ORB|or:46.3|pd:19|on:topBreak|gap:+25.8|ent:close|risk:62.25|rr:0|n:1|h:10|m:0|dow:6,13837.75,1,27675.5,157.5,0.57,2,286,1.03,-26.5,-0.10,-1560.5,-6.24,72
141,Exit short,2021-04-26 07:00,SL,13951.5,1,27825.5,-79.5,-0.29,2,0,0.00,-78.5,-0.28,-1640,-6.56,2
141,Entry short,2021-04-26 06:50,S|ORB|or:31.8|pd:15|on:topBreak|gap:+8.8|ent:close|risk:38.25|rr:0|n:1|h:9|m:50|dow:2,13912.75,1,27825.5,-79.5,-0.29,2,0,0.00,-78.5,-0.28,-1640,-6.56,2
142,Exit short,2021-04-27 13:00,time,13951.5,1,27937.5,32.5,0.12,2,111,0.40,-35,-0.13,-1607.5,-6.43,75
142,Entry short,2021-04-27 06:45,S|ORB|or:47.5|pd:38|on:botBreak|gap:+11|ent:close|risk:66.25|rr:0|n:1|h:9|m:45|dow:3,13968.75,1,27937.5,32.5,0.12,2,111,0.40,-35,-0.13,-1607.5,-6.43,75
143,Exit long,2021-04-28 09:00,SL,13884.75,1,27906,-138.5,-0.50,2,54.5,0.20,-137.5,-0.49,-1746,-6.98,26
143,Entry long,2021-04-28 06:50,L|ORB|or:57.5|pd:47|on:botBreak|gap:-11.8|ent:close|risk:67.75|rr:0|n:1|h:9|m:50|dow:4,13953,1,27906,-138.5,-0.50,2,54.5,0.20,-137.5,-0.49,-1746,-6.98,26
144,Exit long,2021-05-03 07:50,SL,13854,1,27859,-153,-0.55,2,35,0.13,-152,-0.55,-1899,-7.60,8
144,Entry long,2021-05-03 07:10,L|ORB|or:61.5|pd:47|on:topBreak|gap:+54.3|ent:close|risk:75|rr:0|n:1|h:10|m:10|dow:2,13929.5,1,27859,-153,-0.55,2,35,0.13,-152,-0.55,-1899,-7.60,8
145,Exit short,2021-05-04 13:00,time,13532,1,27144,78,0.29,2,381.5,1.41,-3.5,-0.01,-1821,-7.28,74
145,Entry short,2021-05-04 06:50,S|ORB|or:102.5|pd:58|on:botBreak|gap:-107.8|ent:close|risk:124.75|rr:0|n:1|h:9|m:50|dow:3,13572,1,27144,78,0.29,2,381.5,1.41,-3.5,-0.01,-1821,-7.28,74
146,Exit short,2021-05-05 13:00,time,13487.75,1,27095,117.5,0.43,2,169,0.62,-169,-0.62,-1703.5,-6.81,72
146,Entry short,2021-05-05 07:00,S|ORB|or:61.3|pd:19|on:topBreak|gap:+85.3|ent:close|risk:118.25|rr:0|n:1|h:10|m:0|dow:4,13547.5,1,27095,117.5,0.43,2,169,0.62,-169,-0.62,-1703.5,-6.81,72
147,Exit short,2021-05-06 08:30,SL,13509.75,1,26799,-222.5,-0.83,2,20,0.07,-221.5,-0.83,-1926,-7.70,15
147,Entry short,2021-05-06 07:15,S|ORB|or:84.8|pd:42|on:botBreak|gap:-9.3|ent:close|risk:109.75|rr:0|n:1|h:10|m:15|dow:5,13399.5,1,26799,-222.5,-0.83,2,20,0.07,-221.5,-0.83,-1926,-7.70,15
148,Exit short,2021-05-10 13:00,time,13342.75,1,27029.5,342,1.27,2,355,1.31,-58.5,-0.22,-1584,-6.34,67
148,Entry short,2021-05-10 07:25,S|ORB|or:121.8|pd:82|on:botBreak|gap:-56.5|ent:close|risk:143.25|rr:0|n:1|h:10|m:25|dow:2,13514.75,1,27029.5,342,1.27,2,355,1.31,-58.5,-0.22,-1584,-6.34,67
149,Exit short,2021-05-13 07:00,SL,13169.5,1,26179.5,-161.5,-0.62,2,0,0.00,-160.5,-0.61,-1745.5,-6.98,3
