Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
187,Exit long,2021-08-23 13:00,time,15317.5,1,30460.5,172.5,0.57,2,214.5,0.70,-17,-0.06,-305,-1.22,72
187,Entry long,2021-08-23 07:00,L|ORB|or:69.3|pd:49|on:topBreak|gap:+44|ent:close|risk:105.75|rr:0|n:1|h:10|m:0|dow:2,15230.25,1,30460.5,172.5,0.57,2,214.5,0.70,-17,-0.06,-305,-1.22,72
188,Exit short,2021-08-25 13:00,time,15364,1,30706,-24,-0.08,2,39,0.13,-61.5,-0.20,-329,-1.32,66
188,Entry short,2021-08-25 07:30,S|ORB|or:36.3|pd:54|on:topBreak|gap:+9.3|ent:close|risk:44.25|rr:0|n:1|h:10|m:30|dow:4,15353,1,30706,-24,-0.08,2,39,0.13,-61.5,-0.20,-329,-1.32,66
189,Exit long,2021-08-30 13:00,time,15601.25,1,31058.5,142,0.46,2,176,0.57,-21,-0.07,-187,-0.75,73
189,Entry long,2021-08-30 06:55,L|ORB|or:61.3|pd:37|on:topBreak|gap:+31.3|ent:close|risk:74.25|rr:0|n:1|h:9|m:55|dow:2,15529.25,1,31058.5,142,0.46,2,176,0.57,-21,-0.07,-187,-0.75,73
190,Exit long,2021-09-01 12:40,SL,15621.25,1,31390.5,-150,-0.48,2,4.5,0.01,-149,-0.47,-337,-1.35,71
190,Entry long,2021-09-01 06:45,L|ORB|or:50.8|pd:53|on:topBreak|gap:+45.8|ent:close|risk:73.5|rr:0|n:1|h:9|m:45|dow:4,15695.25,1,31390.5,-150,-0.48,2,4.5,0.01,-149,-0.47,-337,-1.35,71
191,Exit short,2021-09-02 13:00,time,15598.75,1,31267,67.5,0.22,2,163.5,0.52,-47.5,-0.15,-269.5,-1.08,72
191,Entry short,2021-09-02 07:00,S|ORB|or:28.8|pd:30|on:topBreak|gap:+57|ent:close|risk:47.25|rr:0|n:1|h:10|m:0|dow:5,15633.5,1,31267,67.5,0.22,2,163.5,0.52,-47.5,-0.15,-269.5,-1.08,72
192,Exit short,2021-09-10 13:00,time,15454.25,1,31244.5,334,1.07,2,376.5,1.20,-16,-0.05,64.5,0.26,72
192,Entry short,2021-09-10 07:00,S|ORB|or:30.5|pd:25|on:topBreak|gap:+73.3|ent:close|risk:45.5|rr:0|n:1|h:10|m:0|dow:6,15622.25,1,31244.5,334,1.07,2,376.5,1.20,-16,-0.05,64.5,0.26,72
193,Exit short,2021-09-13 13:00,time,15445.5,1,30829.5,-63.5,-0.21,2,127.5,0.41,-74.5,-0.24,1,0.00,72
193,Entry short,2021-09-13 07:00,S|ORB|or:113.5|pd:49|on:topBreak|gap:+100|ent:close|risk:150.5|rr:0|n:1|h:10|m:0|dow:2,15414.75,1,30829.5,-63.5,-0.21,2,127.5,0.41,-74.5,-0.24,1,0.00,72
194,Exit short,2021-09-14 13:00,time,15392.5,1,30880,93,0.30,2,190.5,0.62,-98,-0.32,94,0.38,74
194,Entry short,2021-09-14 06:50,S|ORB|or:63.5|pd:30|on:topBreak|gap:+55|ent:close|risk:84|rr:0|n:1|h:9|m:50|dow:3,15440,1,30880,93,0.30,2,190.5,0.62,-98,-0.32,94,0.38,74
195,Exit short,2021-09-16 10:55,SL,15473.5,1,30800.5,-148.5,-0.48,2,81.5,0.26,-147.5,-0.48,-54.5,-0.22,49
195,Entry short,2021-09-16 06:50,S|ORB|or:59.8|pd:29|on:botBreak|gap:-55.5|ent:close|risk:72.75|rr:0|n:1|h:9|m:50|dow:5,15400.25,1,30800.5,-148.5,-0.48,2,81.5,0.26,-147.5,-0.48,-54.5,-0.22,49
196,Exit short,2021-09-17 13:00,time,15309.75,1,30783.5,162,0.53,2,230.5,0.75,-17,-0.06,107.5,0.43,72
196,Entry short,2021-09-17 07:00,S|ORB|or:76.8|pd:44|on:botBreak|gap:-26|ent:close|risk:93.25|rr:0|n:1|h:10|m:0|dow:6,15391.75,1,30783.5,162,0.53,2,230.5,0.75,-17,-0.06,107.5,0.43,72
197,Exit short,2021-09-20 13:00,time,15005.25,1,30007,-5.5,-0.02,2,391,1.30,-81.5,-0.27,102,0.41,64
197,Entry short,2021-09-20 07:40,S|ORB|or:107.3|pd:51|on:botBreak|gap:-246.3|ent:close|risk:139.25|rr:0|n:1|h:10|m:40|dow:2,15003.5,1,30007,-5.5,-0.02,2,391,1.30,-81.5,-0.27,102,0.41,64
198,Exit short,2021-10-04 13:00,time,14482.75,1,29109,141.5,0.49,2,372.5,1.28,-37,-0.13,243.5,0.97,72
198,Entry short,2021-10-04 07:00,S|ORB|or:130|pd:46|on:botBreak|gap:-66.3|ent:close|risk:165.75|rr:0|n:1|h:10|m:0|dow:2,14554.5,1,29109,141.5,0.49,2,372.5,1.28,-37,-0.13,243.5,0.97,72
199,Exit long,2021-10-05 13:00,time,14661.75,1,29176.5,145,0.50,2,331.5,1.14,-69,-0.24,388.5,1.55,74
199,Entry long,2021-10-05 06:50,L|ORB|or:77|pd:22|on:topBreak|gap:+39.8|ent:close|risk:92|rr:0|n:1|h:9|m:50|dow:3,14588.25,1,29176.5,145,0.50,2,331.5,1.14,-69,-0.24,388.5,1.55,74
200,Exit short,2021-10-13 11:00,SL,14779.5,1,29405.5,-155.5,-0.53,2,82,0.28,-154.5,-0.53,233,0.93,50
200,Entry short,2021-10-13 06:50,S|ORB|or:61|pd:39|on:topBreak|gap:+96.5|ent:close|risk:76.25|rr:0|n:1|h:9|m:50|dow:4,14702.75,1,29405.5,-155.5,-0.53,2,82,0.28,-154.5,-0.53,233,0.93,50
201,Exit long,2021-10-14 13:00,time,15035,1,29946.5,121.5,0.41,2,149.5,0.50,-16.5,-0.06,354.5,1.42,72
201,Entry long,2021-10-14 07:00,L|ORB|or:60.5|pd:45|on:topBreak|gap:+153.3|ent:close|risk:83|rr:0|n:1|h:10|m:0|dow:5,14973.25,1,29946.5,121.5,0.41,2,149.5,0.50,-16.5,-0.06,354.5,1.42,72
202,Exit short,2021-10-20 07:25,SL,15436,1,30781,-93,-0.30,2,7,0.02,-92,-0.30,261.5,1.05,5
202,Entry short,2021-10-20 07:00,S|ORB|or:33.3|pd:33|on:topBreak|gap:+18.8|ent:close|risk:45|rr:0|n:1|h:10|m:0|dow:4,15390.5,1,30781,-93,-0.30,2,7,0.02,-92,-0.30,261.5,1.05,5
203,Exit long,2021-10-21 13:00,time,15465.25,1,30780,148.5,0.48,2,186.5,0.61,-31.5,-0.10,410,1.64,74
203,Entry long,2021-10-21 06:50,L|ORB|or:44.8|pd:35|on:topBreak|gap:-35.8|ent:close|risk:56|rr:0|n:1|h:9|m:50|dow:5,15390,1,30780,148.5,0.48,2,186.5,0.61,-31.5,-0.10,410,1.64,74
204,Exit long,2021-10-26 09:00,SL,15579.5,1,31349.5,-192.5,-0.61,2,51.5,0.16,-191.5,-0.61,217.5,0.87,22
204,Entry long,2021-10-26 07:10,L|ORB|or:78|pd:35|on:topBreak|gap:+96.8|ent:close|risk:94.75|rr:0|n:1|h:10|m:10|dow:3,15674.75,1,31349.5,-192.5,-0.61,2,51.5,0.16,-191.5,-0.61,217.5,0.87,22
205,Exit long,2021-10-27 13:00,time,15591.75,1,31285,-103.5,-0.33,2,148.5,0.47,-162,-0.52,114,0.46,73
205,Entry long,2021-10-27 06:55,L|ORB|or:67.8|pd:34|on:topBreak|gap:+25.5|ent:close|risk:84.5|rr:0|n:1|h:9|m:55|dow:4,15642.5,1,31285,-103.5,-0.33,2,148.5,0.47,-162,-0.52,114,0.46,73
206,Exit short,2021-11-01 10:00,SL,15869.25,1,31554.5,-186,-0.59,2,0,0.00,-185,-0.59,-72,-0.29,36
206,Entry short,2021-11-01 07:00,S|ORB|or:63.8|pd:28|on:botBreak|gap:+18.3|ent:close|risk:91.5|rr:0|n:1|h:10|m:0|dow:2,15777.25,1,31554.5,-186,-0.59,2,0,0.00,-185,-0.59,-72,-0.29,36
207,Exit short,2021-11-08 13:00,time,16317,1,32644,8,0.02,2,39,0.12,-122.5,-0.38,-64,-0.26,65
207,Entry short,2021-11-08 07:35,S|ORB|or:62|pd:40|on:topBreak|gap:-1.3|ent:close|risk:72.5|rr:0|n:1|h:10|m:35|dow:2,16322,1,32644,8,0.02,2,39,0.12,-122.5,-0.38,-64,-0.26,65
208,Exit short,2021-11-09 13:00,time,16207,1,32653.5,237.5,0.73,2,332.5,1.02,-21.5,-0.07,173.5,0.69,75
208,Entry short,2021-11-09 06:45,S|ORB|or:37.8|pd:41|on:topBreak|gap:+46.8|ent:close|risk:65.25|rr:0|n:1|h:9|m:45|dow:3,16326.75,1,32653.5,237.5,0.73,2,332.5,1.02,-21.5,-0.07,173.5,0.69,75
209,Exit long,2021-11-10 10:15,SL,16040.75,1,32305.5,-226,-0.70,2,132.5,0.41,-225,-0.70,-52.5,-0.21,41
209,Entry long,2021-11-10 06:50,L|ORB|or:84.5|pd:36|on:botBreak|gap:-115.8|ent:close|risk:111.5|rr:0|n:1|h:9|m:50|dow:4,16152.75,1,32305.5,-226,-0.70,2,132.5,0.41,-225,-0.70,-52.5,-0.21,41
210,Exit long,2021-11-12 13:00,time,16197.75,1,32187,206.5,0.64,2,239,0.74,-10,-0.03,154,0.62,62
210,Entry long,2021-11-12 07:50,L|ORB|or:71|pd:68|on:botBreak|gap:+47|ent:close|risk:86.75|rr:0|n:1|h:10|m:50|dow:6,16093.5,1,32187,206.5,0.64,2,239,0.74,-10,-0.03,154,0.62,62
211,Exit long,2021-11-16 13:00,time,16300,1,32563.5,34.5,0.11,2,83,0.25,-8,-0.02,188.5,0.75,58
211,Entry long,2021-11-16 08:10,L|ORB|or:103|pd:60|on:topBreak|gap:-31.5|ent:close|risk:133|rr:0|n:1|h:11|m:10|dow:3,16281.75,1,32563.5,34.5,0.11,2,83,0.25,-8,-0.02,188.5,0.75,58
212,Exit long,2021-11-22 08:10,SL,16637.5,1,33460.5,-187.5,-0.56,2,73.5,0.22,-186.5,-0.56,1,0.00,17
212,Entry long,2021-11-22 06:45,L|ORB|or:73.3|pd:65|on:topBreak|gap:+66.5|ent:close|risk:92.25|rr:0|n:1|h:9|m:45|dow:2,16730.25,1,33460.5,-187.5,-0.56,2,73.5,0.22,-186.5,-0.56,1,0.00,17
213,Exit long,2021-11-24 13:00,time,16357.5,1,32450.5,262.5,0.81,2,285.5,0.88,-137.5,-0.42,263.5,1.05,72
213,Entry long,2021-11-24 07:00,L|ORB|or:94|pd:31|on:botBreak|gap:-107.3|ent:close|risk:111.5|rr:0|n:1|h:10|m:0|dow:4,16225.25,1,32450.5,262.5,0.81,2,285.5,0.88,-137.5,-0.42,263.5,1.05,72
214,Exit long,2021-11-29 13:00,time,16394.75,1,32596.5,191,0.59,2,278,0.85,-145.5,-0.45,454.5,1.82,73
214,Entry long,2021-11-29 06:55,L|ORB|or:71|pd:22|on:topBreak|gap:+194.5|ent:close|risk:88.5|rr:0|n:1|h:9|m:55|dow:2,16298.25,1,32596.5,191,0.59,2,278,0.85,-145.5,-0.45,454.5,1.82,73
215,Exit long,2021-12-02 07:40,SL,15786.25,1,32038.5,-468,-1.46,2,0.5,0.00,-467,-1.46,-13.5,-0.05,8
215,Entry long,2021-12-02 07:00,L|ORB|or:191.5|pd:34|on:botBreak|gap:-51.3|ent:close|risk:232.5|rr:0|n:1|h:10|m:0|dow:5,16019.25,1,32038.5,-468,-1.46,2,0.5,0.00,-467,-1.46,-13.5,-0.05,8
216,Exit long,2021-12-07 13:00,time,16330.5,1,32388.5,270.5,0.84,2,299,0.92,-16.5,-0.05,257,1.03,75
216,Entry long,2021-12-07 06:45,L|ORB|or:60.3|pd:18|on:topBreak|gap:+276.3|ent:close|risk:75.5|rr:0|n:1|h:9|m:45|dow:3,16194.25,1,32388.5,270.5,0.84,2,299,0.92,-16.5,-0.05,257,1.03,75
217,Exit short,2021-12-10 12:55,SL,16329.75,1,32430.5,-231,-0.71,2,162.5,0.50,-230,-0.71,26,0.10,74
217,Entry short,2021-12-10 06:45,S|ORB|or:88.5|pd:32|on:topBreak|gap:+116.8|ent:close|risk:114|rr:0|n:1|h:9|m:45|dow:6,16215.25,1,32430.5,-231,-0.71,2,162.5,0.50,-230,-0.71,26,0.10,74
218,Exit short,2021-12-13 13:00,time,16075,1,32445.5,293.5,0.90,2,316.5,0.98,-24.5,-0.08,319.5,1.28,68
218,Entry short,2021-12-13 07:20,S|ORB|or:69.8|pd:34|on:botBreak|gap:-0.3|ent:close|risk:115|rr:0|n:1|h:10|m:20|dow:2,16222.75,1,32445.5,293.5,0.90,2,316.5,0.98,-24.5,-0.08,319.5,1.28,68
219,Exit short,2021-12-14 13:00,time,15929.25,1,31622.5,-238,-0.75,2,152.5,0.48,-311,-0.98,81.5,0.33,62
219,Entry short,2021-12-14 07:50,S|ORB|or:135.8|pd:51|on:botBreak|gap:-204.8|ent:close|risk:181|rr:0|n:1|h:10|m:50|dow:3,15811.25,1,31622.5,-238,-0.75,2,152.5,0.48,-311,-0.98,81.5,0.33,62
220,Exit short,2021-12-16 13:00,time,15860.75,1,32339,615.5,1.90,2,752.5,2.33,-50.5,-0.16,697,2.79,73
220,Entry short,2021-12-16 06:55,S|ORB|or:129.5|pd:23|on:botBreak|gap:+40.5|ent:close|risk:172.75|rr:0|n:1|h:9|m:55|dow:5,16169.5,1,32339,615.5,1.90,2,752.5,2.33,-50.5,-0.16,697,2.79,73
221,Exit long,2021-12-17 13:00,time,15810.25,1,31647,-28.5,-0.09,2,265.5,0.84,-165.5,-0.52,668.5,2.67,65
221,Entry long,2021-12-17 07:35,L|ORB|or:135|pd:25|on:botBreak|gap:-150.3|ent:close|risk:167|rr:0|n:1|h:10|m:35|dow:6,15823.5,1,31647,-28.5,-0.09,2,265.5,0.84,-165.5,-0.52,668.5,2.67,65
222,Exit long,2021-12-22 13:00,time,16169.5,1,32064.5,272.5,0.85,2,289.5,0.90,-166.5,-0.52,941,3.76,74
222,Entry long,2021-12-22 06:50,L|ORB|or:78.5|pd:21|on:topBreak|gap:-11.3|ent:close|risk:98.75|rr:0|n:1|h:9|m:50|dow:4,16032.25,1,32064.5,272.5,0.85,2,289.5,0.90,-166.5,-0.52,941,3.76,74
223,Exit long,2021-12-23 13:00,time,16296,1,32517,73,0.22,2,193.5,0.60,-27.5,-0.08,1014,4.06,70
223,Entry long,2021-12-23 07:10,L|ORB|or:60.5|pd:25|on:topBreak|gap:+15.5|ent:close|risk:82.25|rr:0|n:1|h:10|m:10|dow:5,16258.5,1,32517,73,0.22,2,193.5,0.60,-27.5,-0.08,1014,4.06,70
224,Exit long,2021-12-27 13:00,time,16568.25,1,32947.5,187,0.57,2,191,0.58,-24.5,-0.07,1201,4.80,71
224,Entry long,2021-12-27 07:05,L|ORB|or:103.8|pd:58|on:topBreak|gap:+52.8|ent:close|risk:129.5|rr:0|n:1|h:10|m:5|dow:2,16473.75,1,32947.5,187,0.57,2,191,0.58,-24.5,-0.07,1201,4.80,71
225,Exit short,2021-12-28 13:00,time,16523,1,32983.5,-64.5,-0.20,2,76,0.23,-187,-0.57,1136.5,4.55,69
225,Entry short,2021-12-28 07:15,S|ORB|or:90.8|pd:41|on:botBreak|gap:+40.5|ent:close|risk:120|rr:0|n:1|h:10|m:15|dow:3,16491.75,1,32983.5,-64.5,-0.20,2,76,0.23,-187,-0.57,1136.5,4.55,69
226,Exit short,2021-12-31 13:00,time,16337.5,1,32786.5,109.5,0.33,2,159,0.48,-76,-0.23,1246,4.98,75
226,Entry short,2021-12-31 06:45,S|ORB|or:58|pd:37|on:topBreak|gap:-20|ent:close|risk:71|rr:0|n:1|h:9|m:45|dow:6,16393.25,1,32786.5,109.5,0.33,2,159,0.48,-76,-0.23,1246,4.98,75
227,Exit short,2022-01-03 11:40,SL,16485.5,1,32695,-278,-0.85,2,111,0.34,-277,-0.85,968,3.87,59
227,Entry short,2022-01-03 06:45,S|ORB|or:106.3|pd:70|on:topBreak|gap:+58|ent:close|risk:137.5|rr:0|n:1|h:9|m:45|dow:2,16347.5,1,32695,-278,-0.85,2,111,0.34,-277,-0.85,968,3.87,59
228,Exit short,2022-01-04 13:00,time,16265,1,32913.5,381.5,1.16,2,633,1.92,-18,-0.05,1349.5,5.40,73
228,Entry short,2022-01-04 06:55,S|ORB|or:45|pd:22|on:botBreak|gap:+20.3|ent:close|risk:55.75|rr:0|n:1|h:9|m:55|dow:3,16456.75,1,32913.5,381.5,1.16,2,633,1.92,-18,-0.05,1349.5,5.40,73
229,Exit short,2022-01-06 07:55,SL,15851.25,1,31282,-422.5,-1.35,2,84,0.27,-421.5,-1.35,927,3.71,11
229,Entry short,2022-01-06 07:00,S|ORB|or:178.5|pd:37|on:topBreak|gap:-72.5|ent:close|risk:209.75|rr:0|n:1|h:10|m:0|dow:5,15641,1,31282,-422.5,-1.35,2,84,0.27,-421.5,-1.35,927,3.71,11
230,Exit short,2022-01-10 10:50,SL,15415.75,1,30519.5,-314,-1.03,2,213.5,0.70,-313,-1.03,613,2.45,47
230,Entry short,2022-01-10 06:55,S|ORB|or:125.3|pd:39|on:botBreak|gap:-207.5|ent:close|risk:155.5|rr:0|n:1|h:9|m:55|dow:2,15259.75,1,30519.5,-314,-1.03,2,213.5,0.70,-313,-1.03,613,2.45,47
231,Exit long,2022-01-11 13:00,time,15833,1,31241,423,1.35,2,438,1.40,-233.5,-0.75,1036,4.14,72
231,Entry long,2022-01-11 07:00,L|ORB|or:119.5|pd:26|on:botBreak|gap:-39.3|ent:close|risk:146.25|rr:0|n:1|h:10|m:0|dow:3,15620.5,1,31241,423,1.35,2,438,1.40,-233.5,-0.75,1036,4.14,72
232,Exit short,2022-01-12 13:00,time,15910.5,1,31743,-80,-0.25,2,147.5,0.46,-164,-0.52,956,3.82,63
232,Entry short,2022-01-12 07:45,S|ORB|or:98|pd:27|on:topBreak|gap:+107|ent:close|risk:121.25|rr:0|n:1|h:10|m:45|dow:4,15871.5,1,31743,-80,-0.25,2,147.5,0.46,-164,-0.52,956,3.82,63
233,Exit short,2022-01-13 13:00,time,15497,1,31788.5,792.5,2.49,2,871,2.74,-4.5,-0.01,1748.5,6.99,71
233,Entry short,2022-01-13 07:05,S|ORB|or:65|pd:31|on:topBreak|gap:+54.5|ent:close|risk:85.25|rr:0|n:1|h:10|m:5|dow:5,15894.25,1,31788.5,792.5,2.49,2,871,2.74,-4.5,-0.01,1748.5,6.99,71
234,Exit long,2022-01-19 07:30,SL,15250.75,1,30723,-223.5,-0.73,2,20.5,0.07,-222.5,-0.72,1525,6.10,7
234,Entry long,2022-01-19 06:55,L|ORB|or:88.5|pd:33|on:topBreak|gap:+53.3|ent:close|risk:110.25|rr:0|n:1|h:9|m:55|dow:4,15361.5,1,30723,-223.5,-0.73,2,20.5,0.07,-222.5,-0.72,1525,6.10,7
235,Exit long,2022-01-20 11:10,SL,15159.75,1,30554,-236.5,-0.77,2,126,0.41,-235.5,-0.77,1288.5,5.15,51
235,Entry long,2022-01-20 06:55,L|ORB|or:98|pd:28|on:topBreak|gap:+131.3|ent:close|risk:116.75|rr:0|n:1|h:9|m:55|dow:5,15277,1,30554,-236.5,-0.77,2,126,0.41,-235.5,-0.77,1288.5,5.15,51
236,Exit short,2022-01-21 08:20,SL,14819.5,1,29249,-392,-1.34,2,183.5,0.63,-391,-1.34,896.5,3.59,16
236,Entry short,2022-01-21 07:00,S|ORB|or:151.3|pd:29|on:topBreak|gap:-90.8|ent:close|risk:194.5|rr:0|n:1|h:10|m:0|dow:6,14624.5,1,29249,-392,-1.34,2,183.5,0.63,-391,-1.34,896.5,3.59,16
237,Exit long,2022-01-27 07:30,SL,14231,1,28760,-300,-1.04,2,58.5,0.20,-299,-1.04,596.5,2.39,8
237,Entry long,2022-01-27 06:50,L|ORB|or:122.3|pd:18|on:topBreak|gap:+185|ent:close|risk:148.5|rr:0|n:1|h:9|m:50|dow:5,14380,1,28760,-300,-1.04,2,58.5,0.20,-299,-1.04,596.5,2.39,8
238,Exit long,2022-01-31 13:00,time,14865.5,1,29222,507,1.73,2,606,2.07,-19.5,-0.07,1103.5,4.41,74
238,Entry long,2022-01-31 06:50,L|ORB|or:167.8|pd:29|on:topBreak|gap:+53.8|ent:close|risk:195|rr:0|n:1|h:9|m:50|dow:2,14611,1,29222,507,1.73,2,606,2.07,-19.5,-0.07,1103.5,4.41,74
239,Exit short,2022-02-01 12:30,SL,14952.75,1,29514,-393.5,-1.33,2,54.5,0.18,-392.5,-1.33,710,2.84,66
239,Entry short,2022-02-01 07:00,S|ORB|or:165|pd:33|on:botBreak|gap:+45.3|ent:close|risk:195.25|rr:0|n:1|h:10|m:0|dow:3,14757,1,29514,-393.5,-1.33,2,54.5,0.18,-392.5,-1.33,710,2.84,66
240,Exit short,2022-02-02 13:00,time,15093.75,1,30062,-127.5,-0.42,2,178.5,0.59,-276.5,-0.92,582.5,2.33,75
240,Entry short,2022-02-02 06:45,S|ORB|or:115|pd:39|on:botBreak|gap:+176.3|ent:close|risk:147.25|rr:0|n:1|h:9|m:45|dow:4,15031,1,30062,-127.5,-0.42,2,178.5,0.59,-276.5,-0.92,582.5,2.33,75
241,Exit long,2022-02-07 08:05,SL,14669.5,1,29600,-263,-0.89,2,12,0.04,-262,-0.89,319.5,1.28,15
241,Entry long,2022-02-07 06:50,L|ORB|or:112|pd:29|on:topBreak|gap:+26.8|ent:close|risk:130|rr:0|n:1|h:9|m:50|dow:2,14800,1,29600,-263,-0.89,2,12,0.04,-262,-0.89,319.5,1.28,15
242,Exit short,2022-02-09 08:00,SL,14952.25,1,29718,-188.5,-0.63,2,7.5,0.03,-187.5,-0.63,131,0.52,9
242,Entry short,2022-02-09 07:15,S|ORB|or:63|pd:20|on:topBreak|gap:+185.8|ent:close|risk:92.75|rr:0|n:1|h:10|m:15|dow:4,14859,1,29718,-188.5,-0.63,2,7.5,0.03,-187.5,-0.63,131,0.52,9
243,Exit short,2022-02-11 13:00,time,14226,1,29277.5,823.5,2.81,2,914.5,3.12,-173,-0.59,954.5,3.82,73
243,Entry short,2022-02-11 06:55,S|ORB|or:94.3|pd:23|on:topBreak|gap:-2|ent:close|risk:112|rr:0|n:1|h:9|m:55|dow:6,14638.75,1,29277.5,823.5,2.81,2,914.5,3.12,-173,-0.59,954.5,3.82,73
244,Exit short,2022-02-16 11:20,SL,14516.75,1,28797.5,-238,-0.83,2,26.5,0.09,-237,-0.82,716.5,2.87,54
244,Entry short,2022-02-16 06:50,S|ORB|or:85.5|pd:46|on:botBreak|gap:-94|ent:close|risk:117.5|rr:0|n:1|h:9|m:50|dow:4,14398.75,1,28797.5,-238,-0.83,2,26.5,0.09,-237,-0.82,716.5,2.87,54
245,Exit short,2022-02-18 13:00,time,14029.75,1,28131.5,70,0.25,2,318.5,1.13,-157,-0.56,786.5,3.15,66
245,Entry short,2022-02-18 07:30,S|ORB|or:130.3|pd:37|on:botBreak|gap:+39.3|ent:close|risk:152.75|rr:0|n:1|h:10|m:30|dow:6,14065.75,1,28131.5,70,0.25,2,318.5,1.13,-157,-0.56,786.5,3.15,66
246,Exit long,2022-02-22 08:50,SL,13861.25,1,28084,-363.5,-1.29,2,132.5,0.47,-362.5,-1.29,423,1.69,25
246,Entry long,2022-02-22 06:45,L|ORB|or:125|pd:75|on:topBreak|gap:+146.5|ent:close|risk:180.25|rr:0|n:1|h:9|m:45|dow:3,14042,1,28084,-363.5,-1.29,2,132.5,0.47,-362.5,-1.29,423,1.69,25
247,Exit long,2022-02-28 11:05,SL,14026.25,1,28289,-238.5,-0.84,2,295,1.04,-237.5,-0.84,184.5,0.74,50
247,Entry long,2022-02-28 06:55,L|ORB|or:86.3|pd:24|on:topBreak|gap:-139.3|ent:close|risk:117.75|rr:0|n:1|h:9|m:55|dow:2,14144.5,1,28289,-238.5,-0.84,2,295,1.04,-237.5,-0.84,184.5,0.74,50
248,Exit short,2022-03-07 13:00,time,13294.75,1,27347,755.5,2.76,2,765,2.80,-41.5,-0.15,940,3.76,73
248,Entry short,2022-03-07 06:55,S|ORB|or:135.5|pd:52|on:topBreak|gap:-3|ent:close|risk:206.5|rr:0|n:1|h:9|m:55|dow:2,13673.5,1,27347,755.5,2.76,2,765,2.80,-41.5,-0.15,940,3.76,73
249,Exit long,2022-03-10 07:30,SL,13486.5,1,27209.5,-238.5,-0.88,2,1,0.00,-237.5,-0.87,701.5,2.81,3
249,Entry long,2022-03-10 07:15,L|ORB|or:91.8|pd:31|on:botBreak|gap:-176|ent:close|risk:117.75|rr:0|n:1|h:10|m:15|dow:5,13604.75,1,27209.5,-238.5,-0.88,2,1,0.00,-237.5,-0.87,701.5,2.81,3
250,Exit long,2022-03-14 08:40,SL,13204.25,1,26746.5,-340,-1.27,2,38.5,0.14,-339,-1.27,361.5,1.45,18
250,Entry long,2022-03-14 07:10,L|ORB|or:124|pd:28|on:botBreak|gap:-50.5|ent:close|risk:168.5|rr:0|n:1|h:10|m:10|dow:2,13373.25,1,26746.5,-340,-1.27,2,38.5,0.14,-339,-1.27,361.5,1.45,18
251,Exit long,2022-03-15 13:00,time,13443,1,26471.5,412.5,1.56,2,501,1.89,-29.5,-0.11,774,3.10,68
251,Entry long,2022-03-15 07:20,L|ORB|or:117.3|pd:31|on:topBreak|gap:+105.8|ent:close|risk:145|rr:0|n:1|h:10|m:20|dow:3,13235.75,1,26471.5,412.5,1.56,2,501,1.89,-29.5,-0.11,774,3.10,68
252,Exit long,2022-03-17 13:00,time,14113,1,27829.5,394.5,1.42,2,434.5,1.56,-146,-0.52,1168.5,4.67,74
252,Entry long,2022-03-17 06:50,L|ORB|or:81.8|pd:17|on:botBreak|gap:-82.5|ent:close|risk:96|rr:0|n:1|h:9|m:50|dow:5,13914.75,1,27829.5,394.5,1.42,2,434.5,1.56,-146,-0.52,1168.5,4.67,74
253,Exit long,2022-03-18 13:00,time,14406.75,1,28214.5,597,2.12,2,632,2.24,-32.5,-0.12,1765.5,7.06,75
253,Entry long,2022-03-18 06:45,L|ORB|or:83.5|pd:27|on:topBreak|gap:-73.5|ent:close|risk:112.25|rr:0|n:1|h:9|m:45|dow:6,14107.25,1,28214.5,597,2.12,2,632,2.24,-32.5,-0.12,1765.5,7.06,75
254,Exit short,2022-03-21 13:00,time,14394.75,1,28604,-187.5,-0.66,2,235.5,0.82,-307.5,-1.07,1578,6.31,74
254,Entry short,2022-03-21 06:50,S|ORB|or:108|pd:25|on:topBreak|gap:-37.5|ent:close|risk:165|rr:0|n:1|h:9|m:50|dow:2,14302,1,28604,-187.5,-0.66,2,235.5,0.82,-307.5,-1.07,1578,6.31,74
255,Exit long,2022-03-22 13:00,time,14664.5,1,29062,265,0.91,2,321,1.10,-26,-0.09,1843,7.37,72
255,Entry long,2022-03-22 07:00,L|ORB|or:114.5|pd:40|on:topBreak|gap:+18.5|ent:close|risk:156.75|rr:0|n:1|h:10|m:0|dow:3,14531,1,29062,265,0.91,2,321,1.10,-26,-0.09,1843,7.37,72
256,Exit long,2022-03-23 11:15,SL,14470,1,29127.5,-189.5,-0.65,2,237,0.81,-188.5,-0.65,1653.5,6.61,49
256,Entry long,2022-03-23 07:10,L|ORB|or:75.8|pd:24|on:botBreak|gap:-123.5|ent:close|risk:93.25|rr:0|n:1|h:10|m:10|dow:4,14563.75,1,29127.5,-189.5,-0.65,2,237,0.81,-188.5,-0.65,1653.5,6.61,49
257,Exit short,2022-03-29 11:45,SL,15220.25,1,30189,-253.5,-0.84,2,122,0.40,-252.5,-0.84,1400,5.60,56
