date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2019-06-04,2019-06-04 10:04:00-04:00,L,7039.75,11.68469808206649,down,7032.5,2019-06-04 10:02:00-04:00,7067.5,,7034.2,7039.75,7040.0,5.55,2019-06-04 10:05:00-04:00,7033.95,SL,-14.100000000000364,-1.270270270270303,True,
2019-08-20,2019-08-20 10:35:00-04:00,L,7696.0,10.912380362808449,down,7687.25,2019-08-20 10:06:00-04:00,7723.0,7706.75,7690.6,7696.0,7696.25,5.4,2019-08-20 10:57:00-04:00,7722.75,TP,51.0,4.722222222222222,True,0.6020260492040521
2020-02-12,2020-02-12 10:20:00-05:00,S,9582.0,9.60798427724026,up,9590.75,2020-02-12 10:04:00-05:00,9561.0,,9586.2,9582.0,9581.75,4.2,2020-02-12 11:04:00-05:00,9586.45,SL,-11.400000000001455,-1.3571428571430304,True,0.8291032148900169
2020-04-23,2020-04-23 10:04:00-04:00,S,8722.75,16.38766416300103,up,8736.0,2020-04-23 10:03:00-04:00,8661.75,,8734.95,8722.75,8722.5,12.2,2020-04-23 10:06:00-04:00,8735.2,SL,-27.400000000001455,-1.122950819672191,True,0.5581675708257987
2020-06-29,2020-06-29 10:07:00-04:00,S,9792.5,20.16276542609506,up,9824.75,2020-06-29 10:06:00-04:00,9729.0,,9805.2,9792.5,9792.25,12.7,2020-06-29 10:07:00-04:00,9805.45,SL,-28.400000000001455,-1.1181102362205297,False,0.8182665424044734
2020-07-06,2020-07-06 10:08:00-04:00,S,10519.25,11.019114317867741,up,10543.0,2020-07-06 10:07:00-04:00,10476.0,,10527.9,10519.25,10519.0,8.65,2020-07-06 10:10:00-04:00,10528.15,SL,-20.299999999999272,-1.1734104046242353,True,1.2788732394366198
2020-07-30,2020-07-30 10:15:00-04:00,L,10543.5,24.190674130854077,down,10521.25,2020-07-30 10:02:00-04:00,10621.25,,10527.95,10543.5,10543.75,15.55,2020-07-30 10:20:00-04:00,10527.7,SL,-34.099999999998545,-1.0964630225079917,True,1.499531396438613
2020-08-05,2020-08-05 10:02:00-04:00,S,11109.0,14.331840062245593,up,11118.0,2020-08-05 10:01:00-04:00,11065.0,,11117.8,11109.0,11108.75,8.8,2020-08-05 10:11:00-04:00,11118.05,SL,-20.599999999998545,-1.1704545454544626,True,0.673058485139022
2020-09-24,2020-09-24 10:42:00-04:00,S,10835.75,35.50012605871228,up,10936.5,2020-09-24 10:31:00-04:00,10704.0,,10862.1,10835.75,10835.5,26.35,2020-09-24 10:47:00-04:00,10862.35,SL,-55.70000000000073,-1.0569259962049473,True,1.0243572395128553
2020-10-12,2020-10-12 10:04:00-04:00,L,11887.75,20.4824245197662,down,11868.0,2020-10-12 10:03:00-04:00,11945.75,,11876.15,11887.75,11888.0,11.6,2020-10-12 10:52:00-04:00,11945.5,TP,113.0,4.870689655172414,True,1.4303112313937754
