date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2019-06-04,2019-06-04 10:04:00-04:00,L,7039.75,11.68469808206649,down,7032.5,2019-06-04 10:02:00-04:00,7067.5,,7030.5,7039.75,7040.0,9.25,2019-06-04 10:05:00-04:00,7030.25,SL,-21.5,-1.162162162162162,True,
2019-07-11,2019-07-11 11:13:00-04:00,S,7946.5,7.528141747504136,up,7954.25,2019-07-11 10:05:00-04:00,7933.5,,7950.833333333333,7946.5,7946.25,4.333333333333333,2019-07-11 11:22:00-04:00,7951.083333333333,SL,-11.66666666666606,-1.3461538461537763,True,0.6543438077634011
2019-08-20,2019-08-20 10:35:00-04:00,L,7696.0,10.912380362808449,down,7687.25,2019-08-20 10:06:00-04:00,7723.0,7706.75,7687.0,7696.0,7696.25,9.0,2019-08-20 10:57:00-04:00,7722.75,TP,51.0,2.8333333333333335,True,0.6020260492040521
2019-08-26,2019-08-26 10:49:00-04:00,S,7547.5,14.011556776202553,up,7558.25,2019-08-26 10:04:00-04:00,7525.25,,7554.916666666667,7547.5,7547.25,7.416666666666667,2019-08-26 11:12:00-04:00,7555.166666666667,SL,-17.83333333333394,-1.2022471910112769,False,3.2992125984251968
2019-11-05,2019-11-05 11:07:00-05:00,S,8218.5,5.569868257471969,up,8235.0,2019-11-05 10:08:00-05:00,8208.5,,8221.833333333334,8218.5,8218.25,3.3333333333333335,2019-11-05 11:07:00-05:00,8222.083333333334,SL,-9.66666666666788,-1.4500000000001818,False,0.6910755148741419
2019-11-12,2019-11-12 10:06:00-05:00,S,8272.25,4.470970791825321,up,8276.25,2019-11-12 10:04:00-05:00,8264.5,,8274.833333333334,8272.25,8272.0,2.5833333333333335,2019-11-12 10:07:00-05:00,8275.083333333334,SL,-8.16666666666788,-1.5806451612905572,True,0.981029810298103
2019-12-12,2019-12-12 11:17:00-05:00,S,8464.25,13.253926850413663,up,8497.0,2019-12-12 11:14:00-05:00,8381.0,,8492.0,8464.25,8464.0,27.75,2019-12-12 15:59:00-05:00,8467.0,time,-8.0,-0.14414414414414414,True,0.9108433734939759
2020-01-03,2020-01-03 10:19:00-05:00,L,8825.25,12.743766859821935,down,8805.0,2020-01-03 10:16:00-05:00,8840.75,,8820.083333333334,8825.25,8825.5,5.166666666666667,2020-01-03 10:19:00-05:00,8819.833333333334,SL,-13.33333333333212,-1.2903225806450438,False,3.719676549865229
2020-01-29,2020-01-29 10:42:00-05:00,L,9105.75,9.142972617736728,down,9072.25,2020-01-29 10:41:00-05:00,9158.75,,9088.083333333334,9105.75,9106.0,17.666666666666668,2020-01-29 15:59:00-05:00,9109.25,time,4.5,0.12735849056603774,True,1.1428571428571428
2020-02-12,2020-02-12 10:20:00-05:00,S,9582.0,9.60798427724026,up,9590.75,2020-02-12 10:04:00-05:00,9561.0,,9589.0,9582.0,9581.75,7.0,2020-02-12 11:06:00-05:00,9589.25,SL,-17.0,-1.2142857142857142,True,0.8291032148900169
2020-02-17,2020-02-17 10:06:00-05:00,L,9661.25,3.587606170642251,down,9658.75,2020-02-17 10:05:00-05:00,9666.25,9664.5,9659.583333333334,9661.25,9661.5,1.6666666666666667,2020-02-17 10:08:00-05:00,9659.333333333334,SL,-6.333333333332121,-1.8999999999996362,False,0.6736214605067065
2020-02-27,2020-02-27 10:08:00-05:00,S,8669.75,35.24659597363401,up,8698.25,2020-02-27 10:01:00-05:00,8605.0,,8691.333333333334,8669.75,8669.5,21.583333333333332,2020-02-27 10:23:00-05:00,8605.25,TP,126.5,2.9305019305019306,True,2.1262916188289323
2020-03-06,2020-03-06 10:08:00-05:00,S,8418.25,34.30830308873314,up,8449.25,2020-03-06 10:07:00-05:00,8363.75,,8436.416666666666,8418.25,8418.0,18.166666666666668,2020-03-06 10:13:00-05:00,8436.666666666666,SL,-39.33333333333212,-1.0825688073394162,True,3.6923076923076925
2020-03-10,2020-03-10 10:05:00-04:00,L,8187.75,32.868348563309944,down,8168.75,2020-03-10 10:02:00-04:00,8244.75,,8168.75,8187.75,8188.0,19.0,2020-03-10 10:12:00-04:00,8244.5,TP,111.0,2.9210526315789473,True,3.0335954253037882
2020-04-03,2020-04-03 10:05:00-04:00,S,7621.75,29.93438309921155,up,7643.75,2020-04-03 10:04:00-04:00,7570.75,7599.0,7638.75,7621.75,7621.5,17.0,2020-04-03 10:07:00-04:00,7639.0,SL,-37.0,-1.088235294117647,True,0.41810820758189177
2020-04-08,2020-04-08 10:14:00-04:00,S,8071.75,24.796340764948468,up,8092.5,2020-04-08 10:05:00-04:00,8038.25,,8082.916666666667,8071.75,8071.5,11.166666666666666,2020-04-08 10:16:00-04:00,8083.166666666667,SL,-25.33333333333394,-1.1343283582089825,False,0.5822494261667942
2020-04-23,2020-04-23 10:04:00-04:00,S,8722.75,16.38766416300103,up,8736.0,2020-04-23 10:03:00-04:00,8661.75,,8743.083333333334,8722.75,8722.5,20.333333333333332,2020-04-23 10:18:00-04:00,8743.333333333334,SL,-43.66666666666788,-1.0737704918033086,True,0.5581675708257987
2020-05-15,2020-05-15 10:04:00-04:00,S,9015.0,25.029625651374207,up,9033.0,2020-05-15 10:03:00-04:00,8968.0,,9030.666666666666,9015.0,9014.75,15.666666666666666,2020-05-15 10:10:00-04:00,9030.916666666666,SL,-34.33333333333212,-1.0957446808510252,True,1.3836378077839555
2020-06-29,2020-06-29 10:07:00-04:00,S,9792.5,20.16276542609506,up,9824.75,2020-06-29 10:06:00-04:00,9729.0,,9813.666666666666,9792.5,9792.25,21.166666666666668,2020-06-29 10:12:00-04:00,9813.916666666666,SL,-45.33333333333212,-1.0708661417322547,False,0.8182665424044734
2020-07-06,2020-07-06 10:08:00-04:00,S,10519.25,11.019114317867741,up,10543.0,2020-07-06 10:07:00-04:00,10476.0,,10533.666666666666,10519.25,10519.0,14.416666666666666,2020-07-06 10:10:00-04:00,10533.916666666666,SL,-31.83333333333212,-1.1040462427745246,True,1.2788732394366198
2020-07-30,2020-07-30 10:15:00-04:00,L,10543.5,24.190674130854077,down,10521.25,2020-07-30 10:02:00-04:00,10621.25,,10517.583333333334,10543.5,10543.75,25.916666666666668,2020-07-30 10:22:00-04:00,10517.333333333334,SL,-54.83333333333212,-1.0578778135047997,True,1.499531396438613
