family,side,entry_time,sweep_t,inv_t,pnl,R,sgn,sweep_delta,sweep_cum,sweep_div,entry_delta,stack,absorption,year
IFVG-1m,S,2020-09-21 10:02:00-04:00,2020-09-21 09:46:00-04:00,2020-09-21 10:02:00-04:00,-62.5,-0.4512635379061371,-1,-39.0,-565.0,-0.044027972880941985,696.0,6.0,16.511111111111113,2020
IFVG-1m,L,2020-10-23 09:51:00-04:00,2020-10-23 09:50:00-04:00,2020-10-23 09:51:00-04:00,-38.0,-1.0857142857142856,1,-98.0,-1835.0,0.021169781643427366,289.0,5.0,24.67948717948718,2020
IFVG-1m,S,2020-12-10 10:26:00-05:00,2020-12-10 10:20:00-05:00,2020-12-10 10:26:00-05:00,-46.5,-1.0689655172413792,-1,-340.0,-3551.0,-0.018167937248953686,163.0,3.0,25.03921568627451,2020
IFVG-1m,S,2020-12-10 10:45:00-05:00,2020-12-10 10:39:00-05:00,2020-12-10 10:45:00-05:00,-42.0,-1.0769230769230769,-1,-363.0,-3782.0,-0.016596468215965436,212.0,1.0,30.133333333333333,2020
IFVG-1m,S,2020-12-14 09:49:00-05:00,2020-12-14 09:12:00-05:00,2020-12-14 09:49:00-05:00,-33.0,-1.1,-1,,,,183.0,2.0,19.928571428571427,2020
IFVG-1m,L,2020-12-17 09:46:00-05:00,2020-12-17 09:30:00-05:00,2020-12-17 09:46:00-05:00,-36.0,-1.0909090909090908,1,337.0,337.0,0.021589991207878204,240.0,3.0,29.06122448979592,2020
IFVG-1m,S,2021-01-05 09:57:00-05:00,2021-01-05 09:18:00-05:00,2021-01-05 09:57:00-05:00,-46.0,-1.069767441860465,-1,,,,71.0,2.0,28.955555555555556,2021
IFVG-1m,S,2021-01-11 10:19:00-05:00,2021-01-11 10:17:00-05:00,2021-01-11 10:19:00-05:00,-43.5,-1.0740740740740742,-1,-349.0,-1417.0,-3.462221439766086e-05,236.0,4.0,20.583333333333332,2021
IFVG-1m,L,2021-02-11 09:57:00-05:00,2021-02-11 09:35:00-05:00,2021-02-11 09:57:00-05:00,29.5,0.6145833333333334,1,-351.0,-541.0,-0.04061374606025932,235.0,5.0,28.82608695652174,2021
IFVG-1m,S,2021-02-18 10:00:00-05:00,2021-02-18 09:56:00-05:00,2021-02-18 10:00:00-05:00,123.0,2.9285714285714284,-1,-395.0,-1885.0,-0.022730129808540576,110.0,3.0,28.73015873015873,2021
IFVG-1m,S,2021-02-26 09:42:00-05:00,2021-02-26 08:32:00-05:00,2021-02-26 09:42:00-05:00,378.0,2.9763779527559056,-1,,,,461.0,6.0,16.320574162679424,2021
IFVG-1m,S,2021-03-17 10:39:00-04:00,2021-03-17 10:36:00-04:00,2021-03-17 10:39:00-04:00,174.0,2.9491525423728815,-1,-281.0,-3361.0,-0.03614440336660952,87.0,2.0,18.75925925925926,2021
IFVG-1m,L,2021-03-24 09:54:00-04:00,2021-03-24 09:49:00-04:00,2021-03-24 09:54:00-04:00,-55.5,-1.0571428571428572,1,-433.0,-3282.0,-0.03946301043422809,274.0,3.0,42.45614035087719,2021
IFVG-1m,S,2021-04-23 10:44:00-04:00,2021-04-23 09:30:00-04:00,2021-04-23 10:44:00-04:00,-31.0,-1.1071428571428572,-1,-427.0,-427.0,-0.09462645600162506,177.0,4.0,49.71052631578947,2021
IFVG-1m,S,2021-06-18 10:01:00-04:00,2021-06-18 09:42:00-04:00,2021-06-18 10:01:00-04:00,64.0,0.6808510638297872,-1,-193.0,-1290.0,0.00466611530700807,278.0,2.0,31.55263157894737,2021
IFVG-1m,L,2021-07-07 09:55:00-04:00,2021-07-07 09:32:00-04:00,2021-07-07 09:55:00-04:00,-54.0,-1.0588235294117647,1,-412.0,-480.0,-0.0437083045778698,252.0,1.0,47.470588235294116,2021
