id,setup_is_right,target_is_right,note
powell2_01,,,
powell2_02,,,
powell2_03,,,
powell2_04,,,
powell2_05,,,
powell2_06,,,
powell2_07,,,
powell2_08,,,
powell2_09,,,
powell2_10,,,
