run,n,net,R,win,pf,dd,pos_years,years,R_h1,R_h2,p,c_years,c_R,c_halves,c_neighbours,c_bonferroni,passes
P1 3R,71,240,-0.04,28.2,1.1,-818,4,8,-0.184,0.18,0.5764,False,False,False,False,False,False
P1 5R,71,1210,0.095,23.9,1.48,-823,4,8,-0.093,0.385,0.3632,False,True,False,True,False,False
P1 IL,25,-90,-0.123,24.0,0.91,-370,3,6,-0.431,0.426,0.6271,False,False,False,True,False,False
P4 3R,71,240,-0.04,28.2,1.1,-818,4,8,-0.184,0.18,0.5764,False,False,False,False,False,False
P4 5R,71,1210,0.095,23.9,1.48,-823,4,8,-0.093,0.385,0.3632,False,True,False,True,False,False
P4 IL,25,-90,-0.123,24.0,0.91,-370,3,6,-0.431,0.426,0.6271,False,False,False,True,False,False
