date,j,fl,entry_time,side,close,stop,risk,ref,ext,atr10,manip,dir930,match,tp,entry,exit_time,exit,reason,pnl,R
2019-08-26,33,389,2019-08-26 10:03:00-04:00,S,7547.25,7558.75,11.5,7547.5,7558.25,14.011556776202553,up,down,False,7489.75,7547.0,2019-08-26 11:12:00-04:00,7559.0,SL,-26.0,-1.1304347826086956
2019-09-27,31,389,2019-09-27 10:01:00-04:00,S,7756.5,7765.5,9.0,7760.75,7765.0,8.391828015658437,up,down,False,7711.5,7756.25,2019-09-27 10:28:00-04:00,7765.75,SL,-21.0,-1.1666666666666667
2019-10-21,33,389,2019-10-21 10:03:00-04:00,S,7905.25,7916.25,11.0,7908.25,7915.75,8.328701477585751,up,down,False,7850.25,7905.0,2019-10-21 10:19:00-04:00,7916.5,SL,-25.0,-1.1363636363636365
2019-11-21,36,389,2019-11-21 10:06:00-05:00,L,8277.25,8264.75,12.5,8273.5,8265.25,8.63153868925807,down,down,True,8339.75,8277.5,2019-11-21 10:16:00-05:00,8264.5,SL,-28.0,-1.12
2019-11-28,33,200,2019-11-28 10:03:00-05:00,S,8438.5,8441.5,3.0,8439.75,8441.0,2.273503905560354,up,down,False,8423.5,8438.25,2019-11-28 11:30:00-05:00,8441.75,SL,-9.0,-1.5
2019-11-29,36,215,2019-11-29 10:06:00-05:00,L,8438.0,8433.25,4.75,8437.5,8433.75,4.8374124543333075,down,up,False,8461.75,8438.25,2019-11-29 10:23:00-05:00,8433.0,SL,-12.5,-1.3157894736842106
2019-12-09,36,389,2019-12-09 10:06:00-05:00,S,8418.0,8425.25,7.25,8419.5,8424.75,4.955457348266675,up,up,True,8381.75,8417.75,2019-12-09 14:05:00-05:00,8382.0,TP,69.5,4.793103448275862
2019-12-19,32,389,2019-12-19 10:02:00-05:00,S,8629.5,8634.25,4.75,8630.75,8633.75,4.352069133218032,up,up,True,8605.75,8629.25,2019-12-19 10:27:00-05:00,8634.5,SL,-12.5,-1.3157894736842106
2019-12-23,31,389,2019-12-23 10:01:00-05:00,S,8726.25,8729.75,3.5,8726.75,8729.25,4.247351552543548,up,down,False,8708.75,8726.0,2019-12-23 10:03:00-05:00,8730.0,SL,-10.0,-1.4285714285714286
2020-01-23,35,389,2020-01-23 10:05:00-05:00,L,9193.0,9182.75,10.25,9189.5,9183.25,11.077152605390678,down,down,True,9244.25,9193.25,2020-01-23 11:01:00-05:00,9182.5,SL,-23.5,-1.146341463414634
2020-02-17,34,200,2020-02-17 10:04:00-05:00,L,9662.0,9658.25,3.75,9661.25,9658.75,3.587606170642251,down,up,False,9680.75,9662.25,2020-02-17 10:08:00-05:00,9658.0,SL,-10.5,-1.4
2020-03-30,31,389,2020-03-30 10:01:00-04:00,S,7684.25,7705.5,21.25,7687.0,7705.0,28.296566277388305,up,up,True,7578.0,7684.0,2020-03-30 10:03:00-04:00,7705.75,SL,-45.5,-1.0705882352941176
2020-04-08,34,389,2020-04-08 10:04:00-04:00,S,8068.75,8093.0,24.25,8071.75,8092.5,24.796340764948468,up,down,False,7947.5,8068.5,2020-04-08 10:27:00-04:00,8093.25,SL,-51.5,-1.0618556701030928
2020-04-23,32,389,2020-04-23 10:02:00-04:00,S,8716.75,8736.5,19.75,8722.75,8736.0,16.38766416300103,up,up,True,8618.0,8716.5,2020-04-23 10:08:00-04:00,8736.75,SL,-42.5,-1.0759493670886076
2020-06-02,44,389,2020-06-02 10:14:00-04:00,S,9583.25,9603.5,20.25,9583.75,9603.0,13.493132785035153,up,down,False,9482.0,9583.0,2020-06-02 10:20:00-04:00,9603.75,SL,-43.5,-1.0740740740740742
