id,call,conf,slope_D,slope_4H,slope_1H,in_D,up_D,dn_D,in_4H,up_4H,dn_4H,in_1H,up_1H,dn_1H,in_15m,up_15m,dn_15m,eq_highs,eq_lows,run_lower_highs,run_higher_lows,on_pos,R1,R2,R3,R4,actual
635183,long,1,-0.08,0.353,-0.132,0,1.94,0.01,0,0.06,0.23,0,0.17,0.39,0,0.0,0.06,1,0,5,5,0.36,none,none,short,short,short
542093,none,1,-0.109,-0.009,0.129,0,0.52,2.46,0,0.59,0.78,0,,0.02,1,,0.88,0,0,2,7,0.82,none,short,long,short,long
657550,none,1,0.069,0.074,0.048,0,,1.36,0,0.29,0.22,0,,0.12,-1,,0.15,0,1,2,6,0.87,long,short,long,long,long
446581,none,1,0.17,0.049,0.04,0,,0.69,0,,,-1,,0.01,1,,0.06,0,0,3,4,0.83,none,short,long,long,long
393292,none,1,0.058,0.259,0.065,-1,,0.25,0,,0.31,0,,0.01,0,,0.28,0,0,3,4,0.53,long,short,long,long,long
552345,none,1,0.288,-0.061,-0.203,1,,1.31,0,0.28,0.07,0,0.28,,0,0.28,0.12,1,0,3,4,0.49,none,short,short,long,short
398680,none,1,0.074,0.22,-0.169,0,0.32,0.05,1,0.3,0.25,0,0.06,0.13,0,0.02,0.25,1,0,4,2,0.08,none,long,short,short,long
339495,long,1,0.141,-0.08,-0.019,1,0.37,0.47,0,0.27,,0,0.53,,0,,0.08,0,0,2,4,0.86,none,short,long,short,long
108765,none,2,0.239,-0.093,0.125,0,,2.05,0,0.38,,0,0.49,0.0,0,0.08,0.13,0,0,2,3,0.8,none,none,long,long,short
717943,short,1,0.441,0.158,-0.221,0,,1.55,0,0.3,0.32,-1,0.3,0.28,-1,0.07,0.09,1,0,4,2,0.26,none,long,short,long,short
999250,short,2,0.191,-0.193,0.155,0,0.03,0.22,0,0.06,0.16,0,0.06,0.02,0,0.06,0.02,0,1,5,4,0.94,none,none,long,short,long
802219,none,3,0.212,-0.006,0.009,1,,0.05,1,,0.2,0,0.26,0.42,0,,0.42,0,1,3,4,0.06,none,short,short,long,long
877725,none,3,0.112,0.149,0.095,-1,,2.38,-1,,0.84,-1,0.48,0.05,0,,0.05,0,1,3,4,0.85,long,short,long,long,long
564473,long,1,-0.068,0.127,-0.105,0,0.64,0.06,1,0.14,,0,0.15,0.26,0,0.02,,0,0,3,2,0.11,none,none,short,short,short
920609,long,1,0.042,-0.023,-0.083,0,0.59,2.85,0,0.33,,1,0.26,,0,0.0,0.15,0,0,3,3,0.17,none,none,short,short,short
915276,short,1,0.073,-0.105,0.131,0,0.94,1.46,0,0.83,0.04,0,,0.16,0,0.01,0.12,0,1,4,3,0.63,none,long,long,short,long
343736,long,1,0.25,0.32,0.145,0,,0.5,0,,0.37,0,,0.02,1,,0.17,0,1,2,8,0.67,long,short,long,long,long
728264,none,1,-0.143,-0.061,-0.031,0,1.63,,0,0.05,,0,0.18,,0,0.15,0.12,0,0,3,3,0.68,short,short,long,short,long
989398,none,3,0.285,-0.235,-0.002,0,0.17,0.41,0,0.67,,0,0.05,,0,0.01,0.1,0,1,6,6,0.47,none,none,short,short,long
198420,long,1,0.031,0.338,0.038,0,,0.14,0,,0.22,0,,0.19,0,,0.19,0,0,3,7,0.5,none,short,long,long,short
